HYPERPARAMETERS
================
batch_size = 16
block_size = 128
training_steps = 2000
eval_interval = 500
learning_rate = 1e-05
eval_iters = 20
n_embd = 256
n_head = 4
n_layer = 4
dropout = 0.2
max_new_tokens = 300
device = mps
tokenization_method = character
test_mode = False
use_lora = False
model_type = gpt2
training_data_source = sources/training_data_combined.md
gpt2_model_name = gpt2
resume_step = 2000
resume_steps = 3000
total_steps = 5000

OUTPUT
======

============================================================
🚀 RESUMING TRAINING
============================================================
Starting from step 2000
Training for 3000 additional steps
Total training steps: 5000
Checkpoint interval: 500 steps
============================================================

step 2000/5000 (0.0%): train loss 5.2409, val loss 5.1862 | 13.9s (0.00 steps/sec)
step 2025/5000 (0.8%) | 0.55 steps/sec | ETA: 90.9m
step 2050/5000 (1.7%) | 0.66 steps/sec | ETA: 74.5m
step 2075/5000 (2.5%) | 0.71 steps/sec | ETA: 68.5m
step 2100/5000 (3.3%) | 0.74 steps/sec | ETA: 65.3m
step 2125/5000 (4.2%) | 0.76 steps/sec | ETA: 63.4m
step 2150/5000 (5.0%) | 0.75 steps/sec | ETA: 62.9m
step 2175/5000 (5.8%) | 0.75 steps/sec | ETA: 62.9m
step 2200/5000 (6.7%) | 0.74 steps/sec | ETA: 63.0m
step 2225/5000 (7.5%) | 0.74 steps/sec | ETA: 62.7m
step 2250/5000 (8.3%) | 0.73 steps/sec | ETA: 62.6m
step 2275/5000 (9.2%) | 0.73 steps/sec | ETA: 62.3m
step 2300/5000 (10.0%) | 0.73 steps/sec | ETA: 62.0m
step 2325/5000 (10.8%) | 0.72 steps/sec | ETA: 61.6m
step 2350/5000 (11.7%) | 0.72 steps/sec | ETA: 61.2m
step 2375/5000 (12.5%) | 0.72 steps/sec | ETA: 60.9m
step 2400/5000 (13.3%) | 0.72 steps/sec | ETA: 60.5m
step 2425/5000 (14.2%) | 0.71 steps/sec | ETA: 60.5m
step 2450/5000 (15.0%) | 0.71 steps/sec | ETA: 60.2m
step 2475/5000 (15.8%) | 0.70 steps/sec | ETA: 59.9m
step 2500/5000 (16.7%): train loss 4.9960, val loss 5.2535 | 729.5s (0.69 steps/sec)
   💾 Checkpoint saved: checkpoints/checkpoint_resumed_step002500_11192025_152734.pt
step 2525/5000 (17.5%) | 0.68 steps/sec | ETA: 60.4m
step 2550/5000 (18.3%) | 0.29 steps/sec | ETA: 139.7m
step 2575/5000 (19.2%) | 0.30 steps/sec | ETA: 136.7m
step 2600/5000 (20.0%) | 0.30 steps/sec | ETA: 133.7m
step 2625/5000 (20.8%) | 0.30 steps/sec | ETA: 131.1m
step 2650/5000 (21.7%) | 0.31 steps/sec | ETA: 128.4m
step 2675/5000 (22.5%) | 0.31 steps/sec | ETA: 125.9m
step 2700/5000 (23.3%) | 0.31 steps/sec | ETA: 123.3m
step 2725/5000 (24.2%) | 0.31 steps/sec | ETA: 121.0m
step 2750/5000 (25.0%) | 0.31 steps/sec | ETA: 119.2m
step 2775/5000 (25.8%) | 0.32 steps/sec | ETA: 117.0m
step 2800/5000 (26.7%) | 0.32 steps/sec | ETA: 115.1m
step 2825/5000 (27.5%) | 0.32 steps/sec | ETA: 112.3m
step 2850/5000 (28.3%) | 0.33 steps/sec | ETA: 109.0m
step 2875/5000 (29.2%) | 0.33 steps/sec | ETA: 105.9m
step 2900/5000 (30.0%) | 0.34 steps/sec | ETA: 102.9m
step 2925/5000 (30.8%) | 0.35 steps/sec | ETA: 100.2m
step 2950/5000 (31.7%) | 0.35 steps/sec | ETA: 97.7m
step 2975/5000 (32.5%) | 0.35 steps/sec | ETA: 95.3m
step 3000/5000 (33.3%): train loss 4.9928, val loss 5.2078 | 2809.4s (0.36 steps/sec)
   💾 Checkpoint saved: checkpoints/checkpoint_resumed_step003000_11192025_160214.pt
step 3025/5000 (34.2%) | 0.36 steps/sec | ETA: 91.7m
step 3050/5000 (35.0%) | 0.36 steps/sec | ETA: 89.5m
step 3075/5000 (35.8%) | 0.37 steps/sec | ETA: 87.4m
step 3100/5000 (36.7%) | 0.37 steps/sec | ETA: 85.4m
step 3125/5000 (37.5%) | 0.37 steps/sec | ETA: 83.5m
step 3150/5000 (38.3%) | 0.38 steps/sec | ETA: 81.7m
step 3175/5000 (39.2%) | 0.38 steps/sec | ETA: 79.9m
step 3200/5000 (40.0%) | 0.38 steps/sec | ETA: 78.1m
step 3225/5000 (40.8%) | 0.39 steps/sec | ETA: 76.5m
step 3250/5000 (41.7%) | 0.39 steps/sec | ETA: 75.0m
step 3275/5000 (42.5%) | 0.39 steps/sec | ETA: 73.5m
step 3300/5000 (43.3%) | 0.39 steps/sec | ETA: 71.9m
step 3325/5000 (44.2%) | 0.40 steps/sec | ETA: 70.3m
step 3350/5000 (45.0%) | 0.40 steps/sec | ETA: 68.8m
step 3375/5000 (45.8%) | 0.40 steps/sec | ETA: 67.4m
step 3400/5000 (46.7%) | 0.40 steps/sec | ETA: 67.1m
step 3425/5000 (47.5%) | 0.31 steps/sec | ETA: 84.6m
step 3450/5000 (48.3%) | 0.31 steps/sec | ETA: 83.1m
step 3475/5000 (49.2%) | 0.31 steps/sec | ETA: 81.6m
step 3500/5000 (50.0%): train loss 4.9659, val loss 5.2480 | 4828.6s (0.31 steps/sec)
   💾 Checkpoint saved: checkpoints/checkpoint_resumed_step003500_11192025_163554.pt
step 3525/5000 (50.8%) | 0.31 steps/sec | ETA: 79.0m
step 3550/5000 (51.7%) | 0.31 steps/sec | ETA: 77.3m
step 3575/5000 (52.5%) | 0.31 steps/sec | ETA: 75.8m
step 3600/5000 (53.3%) | 0.31 steps/sec | ETA: 74.2m
step 3625/5000 (54.2%) | 0.32 steps/sec | ETA: 72.6m
step 3650/5000 (55.0%) | 0.32 steps/sec | ETA: 71.1m
step 3675/5000 (55.8%) | 0.32 steps/sec | ETA: 69.6m
step 3700/5000 (56.7%) | 0.32 steps/sec | ETA: 68.0m
step 3725/5000 (57.5%) | 0.32 steps/sec | ETA: 66.5m
step 3750/5000 (58.3%) | 0.32 steps/sec | ETA: 65.0m
step 3775/5000 (59.2%) | 0.32 steps/sec | ETA: 63.6m
step 3800/5000 (60.0%) | 0.32 steps/sec | ETA: 62.1m
step 3825/5000 (60.8%) | 0.32 steps/sec | ETA: 60.6m
step 3850/5000 (61.7%) | 0.32 steps/sec | ETA: 59.2m
step 3875/5000 (62.5%) | 0.32 steps/sec | ETA: 57.8m
step 3900/5000 (63.3%) | 0.33 steps/sec | ETA: 56.3m
step 3925/5000 (64.2%) | 0.33 steps/sec | ETA: 54.9m
step 3950/5000 (65.0%) | 0.33 steps/sec | ETA: 53.5m
step 3975/5000 (65.8%) | 0.33 steps/sec | ETA: 52.2m
step 4000/5000 (66.7%): train loss 4.9608, val loss 5.2107 | 6123.6s (0.33 steps/sec)
   💾 Checkpoint saved: checkpoints/checkpoint_resumed_step004000_11192025_165728.pt
step 4025/5000 (67.5%) | 0.33 steps/sec | ETA: 49.7m
step 4050/5000 (68.3%) | 0.33 steps/sec | ETA: 48.3m
step 4075/5000 (69.2%) | 0.33 steps/sec | ETA: 47.0m
step 4100/5000 (70.0%) | 0.33 steps/sec | ETA: 45.6m
